"YEAR","COUNTY","PLACE","CFIPS","PFIPS","Total Population",
"1989","Adams County","Adams Unincorp. Area","1","99990","63,417",
"1980","Adams County","Adams Unincorp. Area","1","99990","70,024",
"1994","Adams County","Adams Unincorp. Area","1","99990","70,669",
"1999","Adams County","Adams Unincorp. Area","1","99990","77,618",
"1997","Adams County","Adams Unincorp. Area","1","99990","74,686",
"1984","Adams County","Adams Unincorp. Area","1","99990","70,286",
"1991","Adams County","Adams Unincorp. Area","1","99990","64,537",
"1992","Adams County","Adams Unincorp. Area","1","99990","66,501",
"1996","Adams County","Adams Unincorp. Area","1","99990","73,050",
"1988","Adams County","Adams Unincorp. Area","1","99990","64,539",
"1983","Adams County","Adams Unincorp. Area","1","99990","71,839",
"2005","Adams County","Adams Unincorp. Area","1","99990","81,497",
"1986","Adams County","Adams Unincorp. Area","1","99990","66,578",
"2002","Adams County","Adams Unincorp. Area","1","99990","80,108",
"1990","Adams County","Adams Unincorp. Area","1","99990","62,606",
"1982","Adams County","Adams Unincorp. Area","1","99990","70,624",
"1981","Adams County","Adams Unincorp. Area","1","99990","70,297",
"1987","Adams County","Adams Unincorp. Area","1","99990","65,134",
"2001","Adams County","Adams Unincorp. Area","1","99990","79,055",
"1995","Adams County","Adams Unincorp. Area","1","99990","71,842",
"1993","Adams County","Adams Unincorp. Area","1","99990","68,890",
"2003","Adams County","Adams Unincorp. Area","1","99990","80,628",
"1985","Adams County","Adams Unincorp. Area","1","99990","69,489",
"2004","Adams County","Adams Unincorp. Area","1","99990","80,725",
"2006","Adams County","Adams Unincorp. Area","1","99990","83,240",
"1998","Adams County","Adams Unincorp. Area","1","99990","76,684",
"2000","Adams County","Adams Unincorp. Area","1","99990","78,379",
"2007","Adams County","Adams Unincorp. Area","1","99990","84,211",
"2008","Adams County","Adams Unincorp. Area","1","99990","85,498",
"2009","Adams County","Adams Unincorp. Area","1","99990","87,372",
"1991","Las Animas County","Aguilar","71","760","521",
"1989","Las Animas County","Aguilar","71","760","537",
"1983","Las Animas County","Aguilar","71","760","622",
"1980","Las Animas County","Aguilar","71","760","624",
"1994","Las Animas County","Aguilar","71","760","592",
"2001","Las Animas County","Aguilar","71","760","590",
"2006","Las Animas County","Aguilar","71","760","554",
"1985","Las Animas County","Aguilar","71","760","591",
"1981","Las Animas County","Aguilar","71","760","632",
"1993","Las Animas County","Aguilar","71","760","558",
"2003","Las Animas County","Aguilar","71","760","588",
"1988","Las Animas County","Aguilar","71","760","558",
"1982","Las Animas County","Aguilar","71","760","637",
"1995","Las Animas County","Aguilar","71","760","594",
"1986","Las Animas County","Aguilar","71","760","574",
"1990","Las Animas County","Aguilar","71","760","520",
"1987","Las Animas County","Aguilar","71","760","575",
"1992","Las Animas County","Aguilar","71","760","528",
"2004","Las Animas County","Aguilar","71","760","568",
"2005","Las Animas County","Aguilar","71","760","559",
"1996","Las Animas County","Aguilar","71","760","597",
"2002","Las Animas County","Aguilar","71","760","589",
"1999","Las Animas County","Aguilar","71","760","592",
"1984","Las Animas County","Aguilar","71","760","591",
"1997","Las Animas County","Aguilar","71","760","593",
"2000","Las Animas County","Aguilar","71","760","595",
"1998","Las Animas County","Aguilar","71","760","589",
"2008","Las Animas County","Aguilar","71","760","541",
"2007","Las Animas County","Aguilar","71","760","550",
"2009","Las Animas County","Aguilar","71","760","538",
"1999","Washington County","Akron","121","925","1,740",
"1990","Washington County","Akron","121","925","1,599",
"1998","Washington County","Akron","121","925","1,778",
"2003","Washington County","Akron","121","925","1,843",
"1987","Washington County","Akron","121","925","1,734",
"1985","Washington County","Akron","121","925","1,803",
"2000","Washington County","Akron","121","925","1,729",
"1982","Washington County","Akron","121","925","1,825",
"1996","Washington County","Akron","121","925","1,778",
"1988","Washington County","Akron","121","925","1,715",
"1992","Washington County","Akron","121","925","1,643",
"1995","Washington County","Akron","121","925","1,778",
"1984","Washington County","Akron","121","925","1,839",
"2002","Washington County","Akron","121","925","1,898",
"1986","Washington County","Akron","121","925","1,739",
"1994","Washington County","Akron","121","925","1,765",
"2006","Washington County","Akron","121","925","1,803",
"1980","Washington County","Akron","121","925","1,716",
"2004","Washington County","Akron","121","925","1,843",
"1993","Washington County","Akron","121","925","1,739",
"1997","Washington County","Akron","121","925","1,788",
"2005","Washington County","Akron","121","925","1,815",
"1989","Washington County","Akron","121","925","1,644",
"1981","Washington County","Akron","121","925","1,723",
"1991","Washington County","Akron","121","925","1,601",
"2001","Washington County","Akron","121","925","1,714",
"1983","Washington County","Akron","121","925","1,868",
"2009","Washington County","Akron","121","925","1,718",
"2007","Washington County","Akron","121","925","1,778",
"2008","Washington County","Akron","121","925","1,730",
"2006","Alamosa County","Alamosa","3","1090","8,826",
"1995","Alamosa County","Alamosa","3","1090","7,642",
"1985","Alamosa County","Alamosa","3","1090","7,257",
"1996","Alamosa County","Alamosa","3","1090","7,706",
"2004","Alamosa County","Alamosa","3","1090","8,812",
"1998","Alamosa County","Alamosa","3","1090","7,799",
"1999","Alamosa County","Alamosa","3","1090","7,894",
"1994","Alamosa County","Alamosa","3","1090","7,520",
"1984","Alamosa County","Alamosa","3","1090","7,260",
"1991","Alamosa County","Alamosa","3","1090","7,528",
"1997","Alamosa County","Alamosa","3","1090","7,773",
"1987","Alamosa County","Alamosa","3","1090","7,492",
"1986","Alamosa County","Alamosa","3","1090","7,426",
"2005","Alamosa County","Alamosa","3","1090","8,830",
"1983","Alamosa County","Alamosa","3","1090","7,160",
"1992","Alamosa County","Alamosa","3","1090","7,453",
"2001","Alamosa County","Alamosa","3","1090","8,596",
"1980","Alamosa County","Alamosa","3","1090","6,830",
"2000","Alamosa County","Alamosa","3","1090","8,489",
"1982","Alamosa County","Alamosa","3","1090","7,000",
"1993","Alamosa County","Alamosa","3","1090","7,428",
"2003","Alamosa County","Alamosa","3","1090","8,751",
"1990","Alamosa County","Alamosa","3","1090","7,579",
"1988","Alamosa County","Alamosa","3","1090","7,628",
"1981","Alamosa County","Alamosa","3","1090","7,012",
"2002","Alamosa County","Alamosa","3","1090","8,648",
"1989","Alamosa County","Alamosa","3","1090","7,592",
"2008","Alamosa County","Alamosa","3","1090","8,828",
"2009","Alamosa County","Alamosa","3","1090","8,823",
"2007","Alamosa County","Alamosa","3","1090","8,808",
"1986","Alamosa County","Alamosa Unincorp. Area","3","99990","5,812",
"1983","Alamosa County","Alamosa Unincorp. Area","3","99990","5,401",
"2002","Alamosa County","Alamosa Unincorp. Area","3","99990","6,500",
"1989","Alamosa County","Alamosa Unincorp. Area","3","99990","5,957",
"1982","Alamosa County","Alamosa Unincorp. Area","3","99990","5,183",
"1991","Alamosa County","Alamosa Unincorp. Area","3","99990","5,999",
"1993","Alamosa County","Alamosa Unincorp. Area","3","99990","6,115",
"1997","Alamosa County","Alamosa Unincorp. Area","3","99990","6,586",
"2005","Alamosa County","Alamosa Unincorp. Area","3","99990","6,452",
"1990","Alamosa County","Alamosa Unincorp. Area","3","99990","5,926",
"1987","Alamosa County","Alamosa Unincorp. Area","3","99990","5,834",
"1998","Alamosa County","Alamosa Unincorp. Area","3","99990","6,704",
"2001","Alamosa County","Alamosa Unincorp. Area","3","99990","6,514",
"2004","Alamosa County","Alamosa Unincorp. Area","3","99990","6,480",
"1984","Alamosa County","Alamosa Unincorp. Area","3","99990","5,578",
"1996","Alamosa County","Alamosa Unincorp. Area","3","99990","6,498",
"1980","Alamosa County","Alamosa Unincorp. Area","3","99990","4,898",
"1988","Alamosa County","Alamosa Unincorp. Area","3","99990","5,979",
"1985","Alamosa County","Alamosa Unincorp. Area","3","99990","5,661",
"2000","Alamosa County","Alamosa Unincorp. Area","3","99990","6,488",
"1981","Alamosa County","Alamosa Unincorp. Area","3","99990","5,097",
"1992","Alamosa County","Alamosa Unincorp. Area","3","99990","6,007",
"1995","Alamosa County","Alamosa Unincorp. Area","3","99990","6,339",
"1994","Alamosa County","Alamosa Unincorp. Area","3","99990","6,189",
"1999","Alamosa County","Alamosa Unincorp. Area","3","99990","6,806",
"2003","Alamosa County","Alamosa Unincorp. Area","3","99990","6,492",
"2006","Alamosa County","Alamosa Unincorp. Area","3","99990","6,415",
"2009","Alamosa County","Alamosa Unincorp. Area","3","99990","6,376",
"2007","Alamosa County","Alamosa Unincorp. Area","3","99990","6,378",
"2008","Alamosa County","Alamosa Unincorp. Area","3","99990","6,414",
"2004","Park County","Alma","93","1530","264",
"1994","Park County","Alma","93","1530","153",
"1991","Park County","Alma","93","1530","151",
"1993","Park County","Alma","93","1530","149",
"1997","Park County","Alma","93","1530","169",
"2001","Park County","Alma","93","1530","190",
"1996","Park County","Alma","93","1530","162",
"1995","Park County","Alma","93","1530","156",
"1986","Park County","Alma","93","1530","113",
"1981","Park County","Alma","93","1530","144",
"1988","Park County","Alma","93","1530","130",
"1980","Park County","Alma","93","1530","132",
"2002","Park County","Alma","93","1530","246",
"2003","Park County","Alma","93","1530","257",
"2005","Park County","Alma","93","1530","271",
"1984","Park County","Alma","93","1530","125",
"1989","Park County","Alma","93","1530","148",
"1992","Park County","Alma","93","1530","154",
"1999","Park County","Alma","93","1530","176",
"1982","Park County","Alma","93","1530","148",
"1998","Park County","Alma","93","1530","171",
"1983","Park County","Alma","93","1530","143",
"2006","Park County","Alma","93","1530","276",
"1990","Park County","Alma","93","1530","148",
"1985","Park County","Alma","93","1530","114",
"1987","Park County","Alma","93","1530","111",
"2000","Park County","Alma","93","1530","182",
"2008","Park County","Alma","93","1530","287",
"2009","Park County","Alma","93","1530","297",
"2007","Park County","Alma","93","1530","282",
"1996","Conejos County","Antonito","21","2355","876",
"2004","Conejos County","Antonito","21","2355","835",
"2002","Conejos County","Antonito","21","2355","869",
"1990","Conejos County","Antonito","21","2355","875",
"1994","Conejos County","Antonito","21","2355","867",
"2001","Conejos County","Antonito","21","2355","867",
"1997","Conejos County","Antonito","21","2355","841",
"1985","Conejos County","Antonito","21","2355","996",
"1989","Conejos County","Antonito","21","2355","908",
"1983","Conejos County","Antonito","21","2355","1,058",
"1981","Conejos County","Antonito","21","2355","1,069",
"1999","Conejos County","Antonito","21","2355","846",
"1982","Conejos County","Antonito","21","2355","1,051",
"1992","Conejos County","Antonito","21","2355","860",
"1984","Conejos County","Antonito","21","2355","1,044",
"2006","Conejos County","Antonito","21","2355","815",
"1987","Conejos County","Antonito","21","2355","1,001",
"2003","Conejos County","Antonito","21","2355","832",
"2005","Conejos County","Antonito","21","2355","825",
"1998","Conejos County","Antonito","21","2355","808",
"1995","Conejos County","Antonito","21","2355","875",
"1988","Conejos County","Antonito","21","2355","953",
"1993","Conejos County","Antonito","21","2355","865",
"1980","Conejos County","Antonito","21","2355","1,103",
"1986","Conejos County","Antonito","21","2355","1,000",
"1991","Conejos County","Antonito","21","2355","873",
"2000","Conejos County","Antonito","21","2355","872",
"2007","Conejos County","Antonito","21","2355","805",
"2009","Conejos County","Antonito","21","2355","773",
"2008","Conejos County","Antonito","21","2355","794",
"1995","Arapahoe County","Arapahoe Unincorp. Area","5","99990","129,453",
"2005","Arapahoe County","Arapahoe Unincorp. Area","5","99990","71,951",
"2000","Arapahoe County","Arapahoe Unincorp. Area","5","99990","49,265",
"1983","Arapahoe County","Arapahoe Unincorp. Area","5","99990","97,399",
"1981","Arapahoe County","Arapahoe Unincorp. Area","5","99990","91,311",
"2004","Arapahoe County","Arapahoe Unincorp. Area","5","99990","69,313",
"1989","Arapahoe County","Arapahoe Unincorp. Area","5","99990","111,061",
"1980","Arapahoe County","Arapahoe Unincorp. Area","5","99990","84,568",
"1996","Arapahoe County","Arapahoe Unincorp. Area","5","99990","133,256",
"1988","Arapahoe County","Arapahoe Unincorp. Area","5","99990","109,097",
"2003","Arapahoe County","Arapahoe Unincorp. Area","5","99990","65,677",
"1984","Arapahoe County","Arapahoe Unincorp. Area","5","99990","103,509",
"1985","Arapahoe County","Arapahoe Unincorp. Area","5","99990","106,051",
"1998","Arapahoe County","Arapahoe Unincorp. Area","5","99990","142,105",
"1986","Arapahoe County","Arapahoe Unincorp. Area","5","99990","108,447",
"2002","Arapahoe County","Arapahoe Unincorp. Area","5","99990","61,248",
"1994","Arapahoe County","Arapahoe Unincorp. Area","5","99990","128,856",
"1991","Arapahoe County","Arapahoe Unincorp. Area","5","99990","114,832",
"2006","Arapahoe County","Arapahoe Unincorp. Area","5","99990","74,057",
"1992","Arapahoe County","Arapahoe Unincorp. Area","5","99990","118,314",
"1987","Arapahoe County","Arapahoe Unincorp. Area","5","99990","110,116",
"1993","Arapahoe County","Arapahoe Unincorp. Area","5","99990","123,056",
"2001","Arapahoe County","Arapahoe Unincorp. Area","5","99990","56,080",
"1982","Arapahoe County","Arapahoe Unincorp. Area","5","99990","97,023",
"1990","Arapahoe County","Arapahoe Unincorp. Area","5","99990","111,157",
"1999","Arapahoe County","Arapahoe Unincorp. Area","5","99990","146,468",
"1997","Arapahoe County","Arapahoe Unincorp. Area","5","99990","136,946",
"2009","Arapahoe County","Arapahoe Unincorp. Area","5","99990","82,757",
"2007","Arapahoe County","Arapahoe Unincorp. Area","5","99990","77,576",
"2008","Arapahoe County","Arapahoe Unincorp. Area","5","99990","80,702",
"1998","Archuleta County","Archuleta Unincorp. Area","7","99990","7,528",
"1994","Archuleta County","Archuleta Unincorp. Area","7","99990","5,219",
"1983","Archuleta County","Archuleta Unincorp. Area","7","99990","3,600",
"2006","Archuleta County","Archuleta Unincorp. Area","7","99990","10,173",
"1984","Archuleta County","Archuleta Unincorp. Area","7","99990","3,653",
"1980","Archuleta County","Archuleta Unincorp. Area","7","99990","2,333",
"1982","Archuleta County","Archuleta Unincorp. Area","7","99990","2,634",
"2000","Archuleta County","Archuleta Unincorp. Area","7","99990","8,466",
"2004","Archuleta County","Archuleta Unincorp. Area","7","99990","9,614",
"1981","Archuleta County","Archuleta Unincorp. Area","7","99990","2,535",
"2003","Archuleta County","Archuleta Unincorp. Area","7","99990","9,407",
"1999","Archuleta County","Archuleta Unincorp. Area","7","99990","7,973",
"2005","Archuleta County","Archuleta Unincorp. Area","7","99990","9,823",
"1988","Archuleta County","Archuleta Unincorp. Area","7","99990","3,840",
"1987","Archuleta County","Archuleta Unincorp. Area","7","99990","4,025",
"1997","Archuleta County","Archuleta Unincorp. Area","7","99990","6,947",
"1989","Archuleta County","Archuleta Unincorp. Area","7","99990","4,012",
"1992","Archuleta County","Archuleta Unincorp. Area","7","99990","4,609",
"1995","Archuleta County","Archuleta Unincorp. Area","7","99990","5,746",
"1986","Archuleta County","Archuleta Unincorp. Area","7","99990","4,036",
"1985","Archuleta County","Archuleta Unincorp. Area","7","99990","3,902",
"2002","Archuleta County","Archuleta Unincorp. Area","7","99990","9,141",
"1996","Archuleta County","Archuleta Unincorp. Area","7","99990","6,415",
"1990","Archuleta County","Archuleta Unincorp. Area","7","99990","4,138",
"1993","Archuleta County","Archuleta Unincorp. Area","7","99990","4,886",
"1991","Archuleta County","Archuleta Unincorp. Area","7","99990","4,394",
"2001","Archuleta County","Archuleta Unincorp. Area","7","99990","8,892",
"2007","Archuleta County","Archuleta Unincorp. Area","7","99990","10,437",
"2008","Archuleta County","Archuleta Unincorp. Area","7","99990","10,390",
"2009","Archuleta County","Archuleta Unincorp. Area","7","99990","10,193",
"1985","Lincoln County","Arriba","73","3235","246",
"1994","Lincoln County","Arriba","73","3235","243",
"1987","Lincoln County","Arriba","73","3235","234",
"1988","Lincoln County","Arriba","73","3235","236",
"2003","Lincoln County","Arriba","73","3235","234",
"2002","Lincoln County","Arriba","73","3235","236",
"1981","Lincoln County","Arriba","73","3235","236",
"1989","Lincoln County","Arriba","73","3235","225",
"2001","Lincoln County","Arriba","73","3235","241",
"2005","Lincoln County","Arriba","73","3235","215",
"2000","Lincoln County","Arriba","73","3235","249",
"1982","Lincoln County","Arriba","73","3235","248",
"1990","Lincoln County","Arriba","73","3235","220",
"1983","Lincoln County","Arriba","73","3235","248",
"1999","Lincoln County","Arriba","73","3235","245",
"2006","Lincoln County","Arriba","73","3235","205",
"1993","Lincoln County","Arriba","73","3235","242",
"1997","Lincoln County","Arriba","73","3235","248",
"1995","Lincoln County","Arriba","73","3235","245",
"1992","Lincoln County","Arriba","73","3235","271",
"1980","Lincoln County","Arriba","73","3235","236",
"1986","Lincoln County","Arriba","73","3235","234",
"1991","Lincoln County","Arriba","73","3235","245",
"1984","Lincoln County","Arriba","73","3235","237",
"1998","Lincoln County","Arriba","73","3235","247",
"1996","Lincoln County","Arriba","73","3235","250",
"2004","Lincoln County","Arriba","73","3235","223",
"2007","Lincoln County","Arriba","73","3235","198",
"2008","Lincoln County","Arriba","73","3235","194",
"2009","Lincoln County","Arriba","73","3235","188",
"1988","Adams County","Arvada (part)","1","3455","2,185",
"1989","Jefferson County","Arvada (part)","59","3455","87,221",
"1992","Jefferson County","Arvada (part)","59","3455","91,118",
"1989","Adams County","Arvada (part)","1","3455","2,287",
"1988","Jefferson County","Arvada (part)","59","3455","87,263",
"1993","Jefferson County","Arvada (part)","59","3455","92,021",
"2005","Jefferson County","Arvada (part)","59","3455","99,488",
"1986","Adams County","Arvada (part)","1","3455","2,018",
"2005","Adams County","Arvada (part)","1","3455","2,754",
"1990","Jefferson County","Arvada (part)","59","3455","86,914",
"1987","Adams County","Arvada (part)","1","3455","2,084",
"1986","Jefferson County","Arvada (part)","59","3455","87,391",
"1991","Adams County","Arvada (part)","1","3455","2,425",
"1987","Jefferson County","Arvada (part)","59","3455","87,297",
"1991","Jefferson County","Arvada (part)","59","3455","88,569",
"1993","Adams County","Arvada (part)","1","3455","2,534",
"1990","Adams County","Arvada (part)","1","3455","2,347",
"1984","Adams County","Arvada (part)","1","3455","1,832",
"1996","Jefferson County","Arvada (part)","59","3455","94,905",
"1998","Jefferson County","Arvada (part)","59","3455","97,167",
"2000","Adams County","Arvada (part)","1","3455","2,843",
"2002","Adams County","Arvada (part)","1","3455","2,894",
"1998","Adams County","Arvada (part)","1","3455","2,803",
"1996","Adams County","Arvada (part)","1","3455","2,712",
"1992","Adams County","Arvada (part)","1","3455","2,487",
"2000","Jefferson County","Arvada (part)","59","3455","99,556",
"1995","Jefferson County","Arvada (part)","59","3455","94,450",
"2004","Adams County","Arvada (part)","1","3455","2,783",
"1985","Adams County","Arvada (part)","1","3455","1,961",
"1999","Adams County","Arvada (part)","1","3455","2,828",
"2004","Jefferson County","Arvada (part)","59","3455","98,822",
"1997","Jefferson County","Arvada (part)","59","3455","95,728",
"1984","Jefferson County","Arvada (part)","59","3455","86,756",
"2006","Jefferson County","Arvada (part)","59","3455","100,694",
"1982","Jefferson County","Arvada (part)","59","3455","87,338",
"2001","Adams County","Arvada (part)","1","3455","2,922",
"1982","Adams County","Arvada (part)","1","3455","1,526",
"1997","Adams County","Arvada (part)","1","3455","2,767",
"2001","Jefferson County","Arvada (part)","59","3455","99,352",
"1981","Adams County","Arvada (part)","1","3455","1,389",
"1999","Jefferson County","Arvada (part)","59","3455","98,390",
"1994","Jefferson County","Arvada (part)","59","3455","93,266",
"1980","Jefferson County","Arvada (part)","59","3455","83,347",
"1980","Adams County","Arvada (part)","1","3455","1,229",
"2003","Adams County","Arvada (part)","1","3455","2,832",
"2006","Adams County","Arvada (part)","1","3455","2,754",
"1994","Adams County","Arvada (part)","1","3455","2,612",
"1985","Jefferson County","Arvada (part)","59","3455","87,085",
"2002","Jefferson County","Arvada (part)","59","3455","99,019",
"1995","Adams County","Arvada (part)","1","3455","2,670",
"1983","Adams County","Arvada (part)","1","3455","1,700",
"2003","Jefferson County","Arvada (part)","59","3455","98,847",
"1981","Jefferson County","Arvada (part)","59","3455","85,603",
"1983","Jefferson County","Arvada (part)","59","3455","87,038",
"2008","Adams County","Arvada (part)","1","3455","2,774",
"2007","Adams County","Arvada (part)","1","3455","2,751",
"2009","Adams County","Arvada (part)","1","3455","2,822",
"2008","Jefferson County","Arvada (part)","59","3455","103,006",
"2009","Jefferson County","Arvada (part)","59","3455","103,447",
"2007","Jefferson County","Arvada (part)","59","3455","101,901",
"2006","Pitkin County","Aspen","97","3620","6,457",
"1990","Pitkin County","Aspen","97","3620","5,049",
"1993","Pitkin County","Aspen","97","3620","5,449",
"1983","Pitkin County","Aspen","97","3620","3,329",
"1997","Pitkin County","Aspen","97","3620","5,650",
"1987","Pitkin County","Aspen","97","3620","3,606",
"1982","Pitkin County","Aspen","97","3620","3,348",
"1980","Pitkin County","Aspen","97","3620","3,678",
"1991","Pitkin County","Aspen","97","3620","5,115",
"2000","Pitkin County","Aspen","97","3620","6,215",
"1998","Pitkin County","Aspen","97","3620","5,593",
"1999","Pitkin County","Aspen","97","3620","5,778",
"1986","Pitkin County","Aspen","97","3620","3,658",
"1992","Pitkin County","Aspen","97","3620","5,257",
"1996","Pitkin County","Aspen","97","3620","5,594",
"2002","Pitkin County","Aspen","97","3620","6,364",
"1994","Pitkin County","Aspen","97","3620","5,620",
"2004","Pitkin County","Aspen","97","3620","6,365",
"1981","Pitkin County","Aspen","97","3620","3,425",
"2003","Pitkin County","Aspen","97","3620","6,418",
"2005","Pitkin County","Aspen","97","3620","6,425",
"1995","Pitkin County","Aspen","97","3620","5,703",
"1985","Pitkin County","Aspen","97","3620","3,513",
"2001","Pitkin County","Aspen","97","3620","6,359",
"1989","Pitkin County","Aspen","97","3620","5,048",
"1984","Pitkin County","Aspen","97","3620","3,434",
"1988","Pitkin County","Aspen","97","3620","3,552",
"2007","Pitkin County","Aspen","97","3620","6,523",
"2008","Pitkin County","Aspen","97","3620","6,806",
"2009","Pitkin County","Aspen","97","3620","7,035",
"1988","Weld County","Ault","123","3950","1,078",
"1990","Weld County","Ault","123","3950","1,107",
"2002","Weld County","Ault","123","3950","1,414",
"2006","Weld County","Ault","123","3950","1,426",
"1982","Weld County","Ault","123","3950","978",
"2000","Weld County","Ault","123","3950","1,427",
"1987","Weld County","Ault","123","3950","1,069",
"2001","Weld County","Ault","123","3950","1,429",
"1981","Weld County","Ault","123","3950","1,025",
"1989","Weld County","Ault","123","3950","1,096",
"2003","Weld County","Ault","123","3950","1,412",
"2005","Weld County","Ault","123","3950","1,413",
"1999","Weld County","Ault","123","3950","1,413",
"1997","Weld County","Ault","123","3950","1,398",
"1986","Weld County","Ault","123","3950","1,065",
"1996","Weld County","Ault","123","3950","1,364",
"1995","Weld County","Ault","123","3950","1,316",
"1992","Weld County","Ault","123","3950","1,188",
"1980","Weld County","Ault","123","3950","1,056",
"1984","Weld County","Ault","123","3950","1,077",
"1991","Weld County","Ault","123","3950","1,146",
"1994","Weld County","Ault","123","3950","1,280",
"2004","Weld County","Ault","123","3950","1,402",
"1993","Weld County","Ault","123","3950","1,237",
"1985","Weld County","Ault","123","3950","1,083",
"1998","Weld County","Ault","123","3950","1,390",
"1983","Weld County","Ault","123","3950","974",
"2008","Weld County","Ault","123","3950","1,480",
"2009","Weld County","Ault","123","3950","1,508",
"2007","Weld County","Ault","123","3950","1,451",
"1995","Adams County","Aurora (part)","1","4000","35,679",
"1992","Arapahoe County","Aurora (part)","5","4000","208,874",
"2005","Douglas County","Aurora (part)","35","4000","0",
"2002","Douglas County","Aurora (part)","35","4000","0",
"1993","Arapahoe County","Aurora (part)","5","4000","212,635",
"1996","Douglas County","Aurora (part)","35","4000","2",
"1989","Arapahoe County","Aurora (part)","5","4000","193,302",
"1994","Douglas County","Aurora (part)","35","4000","2",
"2002","Adams County","Aurora (part)","1","4000","39,814",
"1995","Arapahoe County","Aurora (part)","5","4000","217,127",
"1989","Adams County","Aurora (part)","1","4000","28,080",
"2003","Arapahoe County","Aurora (part)","5","4000","247,134",
"1995","Douglas County","Aurora (part)","35","4000","2",
"1994","Adams County","Aurora (part)","1","4000","32,942",
"2003","Adams County","Aurora (part)","1","4000","38,740",
"2001","Adams County","Aurora (part)","1","4000","39,767",
"1989","Douglas County","Aurora (part)","35","4000","0",
"2003","Douglas County","Aurora (part)","35","4000","0",
"1993","Douglas County","Aurora (part)","35","4000","3",
"1994","Arapahoe County","Aurora (part)","5","4000","215,162",
"1993","Adams County","Aurora (part)","1","4000","31,863",
"2002","Arapahoe County","Aurora (part)","5","4000","244,237",
"2000","Arapahoe County","Aurora (part)","5","4000","237,328",
"1999","Adams County","Aurora (part)","1","4000","39,410",
"1991","Douglas County","Aurora (part)","35","4000","4",
"1999","Arapahoe County","Aurora (part)","5","4000","233,232",
"1999","Douglas County","Aurora (part)","35","4000","0",
"1996","Adams County","Aurora (part)","1","4000","36,878",
"2004","Adams County","Aurora (part)","1","4000","38,683",
"1991","Arapahoe County","Aurora (part)","5","4000","200,805",
"2004","Arapahoe County","Aurora (part)","5","4000","251,550",
"1998","Arapahoe County","Aurora (part)","5","4000","229,378",
"2000","Douglas County","Aurora (part)","35","4000","0",
"1998","Adams County","Aurora (part)","1","4000","38,307",
"1998","Douglas County","Aurora (part)","35","4000","1",
"1992","Adams County","Aurora (part)","1","4000","30,657",
"1990","Arapahoe County","Aurora (part)","5","4000","194,352",
"1996","Arapahoe County","Aurora (part)","5","4000","220,462",
"2005","Arapahoe County","Aurora (part)","5","4000","255,470",
"1997","Arapahoe County","Aurora (part)","5","4000","223,038",
"1997","Adams County","Aurora (part)","1","4000","38,051",
"1990","Adams County","Aurora (part)","1","4000","27,747",
"2001","Douglas County","Aurora (part)","35","4000","0",
"1990","Douglas County","Aurora (part)","35","4000","4",
"1997","Douglas County","Aurora (part)","35","4000","1",
"1992","Douglas County","Aurora (part)","35","4000","4",
"2005","Adams County","Aurora (part)","1","4000","38,415",
"2004","Douglas County","Aurora (part)","35","4000","0",
"2001","Arapahoe County","Aurora (part)","5","4000","239,670",
"1991","Adams County","Aurora (part)","1","4000","29,269",
"2000","Adams County","Aurora (part)","1","4000","40,767",
"1988","Douglas County","Aurora (part)","35","4000","0",
"1985","Douglas County","Aurora (part)","35","4000","0",
"1982","Douglas County","Aurora (part)","35","4000","0",
"1986","Douglas County","Aurora (part)","35","4000","0",
"1987","Douglas County","Aurora (part)","35","4000","0",
"1988","Adams County","Aurora (part)","1","4000","28,407",
"1985","Arapahoe County","Aurora (part)","5","4000","191,257",
"1983","Douglas County","Aurora (part)","35","4000","0",
"2006","Arapahoe County","Aurora (part)","5","4000","262,236",
"1980","Adams County","Aurora (part)","1","4000","29,193",
"1983","Arapahoe County","Aurora (part)","5","4000","166,274",
"1988","Arapahoe County","Aurora (part)","5","4000","192,863",
"1984","Douglas County","Aurora (part)","35","4000","0",
"1980","Arapahoe County","Aurora (part)","5","4000","129,395",
"1983","Adams County","Aurora (part)","1","4000","30,133",
"1986","Arapahoe County","Aurora (part)","5","4000","194,386",
"1987","Arapahoe County","Aurora (part)","5","4000","194,639",
"2006","Douglas County","Aurora (part)","35","4000","0",
"1981","Douglas County","Aurora (part)","35","4000","0",
"2006","Adams County","Aurora (part)","1","4000","38,286",
"1984","Arapahoe County","Aurora (part)","5","4000","180,272",
"1980","Douglas County","Aurora (part)","35","4000","0",
"1981","Adams County","Aurora (part)","1","4000","29,346",
"1982","Adams County","Aurora (part)","1","4000","29,750",
"1986","Adams County","Aurora (part)","1","4000","29,017",
"1981","Arapahoe County","Aurora (part)","5","4000","141,411",
"1987","Adams County","Aurora (part)","1","4000","28,616",
"1982","Arapahoe County","Aurora (part)","5","4000","153,429",
"1984","Adams County","Aurora (part)","1","4000","29,475",
"1985","Adams County","Aurora (part)","1","4000","29,539",
"2008","Arapahoe County","Aurora (part)","5","4000","274,546",
"2009","Adams County","Aurora (part)","1","4000","39,803",
"2009","Arapahoe County","Aurora (part)","5","4000","280,287",
"2007","Arapahoe County","Aurora (part)","5","4000","268,603",
"2008","Douglas County","Aurora (part)","35","4000","46",
"2007","Adams County","Aurora (part)","1","4000","38,326",
"2009","Douglas County","Aurora (part)","35","4000","98",
"2007","Douglas County","Aurora (part)","35","4000","6",
